5,4,0
51,11,0
42,17,0
64,22,0
6,32,0
169,35,0
9,61,0
88,73,0
22,78,0
167,80,0
126,95,0
36,104,0
180,112,0
7,131,0
151,134,0
170,139,0
171,143,0
41,144,0
188,164,0
159,179,0
186,194,0
160,196,0
162,211,0
114,216,0
10,221,0
124,222,0
12,233,0
127,243,0
182,265,0
29,271,0
13,273,0
108,279,0
115,291,0
132,320,0
59,333,0
2,335,0
60,347,0
23,348,0
30,349,0
32,370,0
1,380,0
109,387,0
14,400,0
85,412,0
133,413,0
172,424,0
65,437,0
31,450,0
33,455,0
66,465,0
52,487,0
92,504,0
134,515,0
190,517,0
135,533,0
177,554,0
0,558,1
116,593,0
61,594,0
24,646,0
136,659,0
54,674,0
166,682,0
19,691,0
185,713,0
93,720,0
195,750,0
86,780,0
147,783,0
91,800,0
105,814,0
53,829,0
82,830,0
161,853,0
117,857,0
67,890,0
21,905,0
145,921,0
18,1017,0
118,1042,0
119,1064,0
37,1073,0
175,1076,0
137,1086,0
94,1090,0
11,1096,0
144,1148,0
20,1172,0
25,1196,0
138,1207,0
79,1219,0
191,1289,0
28,1297,0
44,1386,0
78,1405,0
95,1442,0
62,1496,0
163,1562,0
120,1700,0
178,1775,0
128,1776,0
71,1792,0
152,1797,0
139,1854,0
45,1871,0
104,1959,0
46,1961,0
15,1962,0
72,2053,0
63,2109,0
196,2112,0
96,2208,0
89,2259,0
68,2429,0
153,2590,0
197,2621,0
73,2783,0
50,2863,0
154,2901,0
83,2908,0
155,2924,0
84,2966,0
110,3137,0
97,3276,0
38,3278,0
176,3578,0
39,3593,0
121,3648,0
98,3666,0
99,3713,0
100,3817,0
26,4222,0
90,4236,0
122,4272,0
192,4292,0
55,4365,0
3,4485,0
140,4566,0
168,4650,0
101,4663,0
173,4674,0
193,5000,0
141,5226,0
107,5570,0
102,5893,0
148,5986,0
47,6130,0
198,6825,0
164,6938,0
179,7202,0
74,7346,0
75,7350,0
76,7398,0
125,7411,0
165,7714,0
69,7811,0
156,7815,0
157,8279,0
70,8554,0
142,8598,0
149,8758,0
106,8763,0
103,8859,0
187,8924,0
183,8928,0
56,9698,0
158,9827,0
111,10294,0
17,10688,0
143,10767,0
129,10959,0
184,11190,0
40,11409,0
150,11672,0
174,12378,0
8,12588,0
146,13619,0
43,14740,0
81,15586,0
189,16017,0
34,17038,0
112,17538,0
87,17992,0
57,18139,0
113,18197,0
77,20029,0
35,20497,0
58,20746,0
48,22270,0
16,22603,0
80,23823,0
49,25790,0
27,42283,0
4,45430,0
130,45802,0
181,72463,0
131,76197,0
194,106654,0
123,410447,0
199,410448,1
200,410449,0
